State,Morph,Timing,psm
1,1,1,0.44646464646464645
1,1,2,0.488659793814433
1,2,1,0.4819047619047619
1,2,2,0.44299065420560746
2,1,1,0.44646464646464645
2,1,2,0.488659793814433
2,2,1,0.4819047619047619
2,2,2,0.44299065420560746
