cond,coef
m1rho11,0.837047447
m1rho12,-1.342595064
m1rho13,-0.392228871
m1rho14,-3.577176643
m2rho11,0.553521566
m2rho12,-1.126231962
m2rho13,-0.552510764
m2rho14,-3.395020135 
