cond,coef
m1rho11,2.774123256
m1rho21,1.14078665
m1rho12,-2.131829527
m1rho22,-0.913417377
m1rho13,-0.574740836
m1rho23,-0.313519152
m1rho14,-4.489354299
m1rho24,-4.184701867
m2rho11,3.254592596
m2rho21,1.367335663
m2rho12,-2.138783331
m2rho22,-0.371495324
m2rho13,-0.775099852
m2rho23,-0.189354501
m2rho14,-4.650805163
m2rho24,-3.848981089
