cond,coef
m1rho11,1.026542854
m1rho21,-0.138155982
m1rho12,-1.917426959
m1rho22,-0.766732381
m1rho13,-0.430623886
m1rho23,-0.277731314
m1rho14,-4.378218312 
m1rho24,-4.264205235
m2rho11,1.452817154
m2rho21,-0.036926565
m2rho12,-1.98866397
m2rho22,-0.370190139
m2rho13,-0.588357313
m2rho23,-0.11106995
m2rho14,-4.566329006
m2rho24,-3.839213206
