var,coef
linkdepth,0.22731938
c3,-0.326351402
c15,-0.078044624
c17,-0.296310917
linkdepth_s2,0.120224026
c3_s2,-0.212328716
c15_s2,0.109461496
c17_s2,-0.421113285
linkdepth_s3,0.161054294
c3_s3,-0.709721056
c15_s3,-0.502531898
c17_s3,-0.97918308 
