"","x"
"1",1.55263667353007
"2",-1.12602226037046
"3",1.03893124451501
"4",-1.98221942952272
"5",-0.119820955760287
"6",-0.734019410746767
"7",-0.463088411505049
"8",-0.0954798303434602
"9",-0.340195175573629
"10",-4.39744415338521
"11",-1.12627959576718
"12",-4.36892811730069
"13",2.01461054444002
"14",-1.51820791696684
"15",1.08166703644165
"16",-2.0495058548705
"17",0.0140869720149553
"18",-0.337284587651386
"19",-0.654278168267069
"20",-0.020986801163107
"21",-0.181355499354073
"22",-4.61573115733034
"23",-0.833454905391245
"24",-4.07541291352034
