cond,value
m1mu11,4.699643992
m1mu21,0.007784122
m1mu31,0.229073611
m1mu12,5.177878579
m1mu22,1.035991099
m1mu32,0.758591785
m2mu11,5.447509415
m2mu21,-0.08403769
m2mu31,0.90334919
m2mu12,5.855728531
m2mu22,1.044347749
m2mu32,1.385611155
