Model,State,Beta
Model_3ST,S1,-2.396498973
Model_3ST,S2,-1.577697184
Model_3ST,S3,NA
Model_3ST,S1,-2.595805629
Model_3ST,S2,-2.209239579
Model_3ST,S3,-1.587349014
Model_2SNT,S1,-2.261799634
Model_2SNT,S2,-1.498904092
Model_2SNT,S3,NA
Model_3SNT,S1,-2.493814869
Model_3SNT,S2,-2.034572119
Model_3SNT,S3,-1.337709187
