Model,State,Beta
Model_3ST,S1,-2.610929737929398
Model_3ST,S2,-1.4599016063610073
Model_3ST,S3,NA
Model_3ST,S1,-2.79322463594483
Model_3ST,S2,-2.3953765842602426
Model_3ST,S3,-1.4788083597243444
Model_2SNT,S1,-2.512001192892202
Model_2SNT,S2,-1.3810741694006996
Model_2SNT,S3,NA
Model_3SNT,S1,-2.6825892411180092
Model_3SNT,S2,-2.206296020516403
Model_3SNT,S3,-1.3055015877749239
