Model,param,value
Model_2ST,mu11,2.2619
Model_2SNT,mu11,2.0528
Model_2SNT,mu21,-1.5809
Model_3ST,mu11,1.5093
Model_3ST,mu21,-0.0427
Model_3ST,mu12,4.2258
Model_3ST,mu22,0.6764
Model_3SNT,mu11,1.8394
Model_3SNT,mu21,-0.5304
Model_3SNT,mu31,-1.575
Model_3SNT,mu12,4.5465
Model_3SNT,mu22,0.1981
Model_3SNT,mu32,-1.0189
