Model,State,Beta
Model_3ST,S1,-2.6147425601182426
Model_3ST,S2,-1.4262307898768778
Model_3ST,S3,NA
Model_3ST,S1,-2.7885827743510063
Model_3ST,S2,-2.39227539724958
Model_3ST,S3,-1.4498325702673807
Model_2SNT,S1,-2.54168699534349
Model_2SNT,S2,-1.3420658570586914
Model_2SNT,S3,NA
Model_3SNT,S1,-2.7117086646681887
Model_3SNT,S2,-2.240165582781862
Model_3SNT,S3,-1.3041782671813673
