StateCondition,bounce_prob
S1_C1,0.02830856
S2_C1,0.02830856
S3_C1,0.02830856
S1_C2,0.03373946
S2_C2,0.03373946
S3_C2,0.03373946
S1_C3,0.03380783
S2_C3,0.03380783
S3_C3,0.03380783
S1_C4,0.03738318
S2_C4,0.03738318
S3_C4,0.03738318
