Condition,Value
S1Cond1,0.9116438
S2Cond1,NA
S3Cond1,0.36162749
S1Cond2,0.91331877
S2Cond2,0.70022219
S3Cond2,0.36703028
S1Cond3,0.92412548
S2Cond3,0.71268048
S3Cond3,0.36172846
S1Cond4,0.91416165
S2Cond4,0.74378463
S3Cond4,0.36708345
S1Overall,0.9138769
S2Overall,0.7117847
S3Overall,0.3643832
