IND,M1mu11,M2mu11
356,2.86359363,3.052411902
357,2.87320437,3.062060367
358,2.90615599,3.076887097
359,2.86022334,2.985746838
360,2.88107102,3.065233199
361,2.89477473,3.090116707
362,2.86610665,3.08511271
363,2.92632171,3.074617656
364,2.88030155,3.122382046
365,2.88402593,3.086537297
366,2.87571302,3.105952296
367,2.8948594,3.100910759
368,2.90038673,3.08113382
369,2.88150302,3.06524117
370,2.86524488,3.100787685
371,2.85482063,2.958565365
372,2.89421334,3.122841909
373,2.88320532,3.123406078
374,2.93780318,2.947773093
375,2.87953954,3.088330633
376,2.88910642,3.070136326
377,2.95012623,3.079301756
378,2.90957708,3.101782477
379,2.88393531,2.940460243
380,2.90057148,3.103171545
381,2.91713725,3.074153153
382,2.87434206,3.093604901
383,2.82520794,3.083640879
384,2.87305594,3.081357033
385,2.88222714,3.089251431
386,2.90121306,3.140202027
387,2.88239577,3.074905815
388,2.89371209,3.096594948
389,2.87199622,2.983735281
390,2.88143002,3.127067083
391,2.80715281,3.110887502
392,2.81671733,3.058281794
393,2.86293623,3.062502404
394,2.87785704,2.943906623
395,2.90778244,3.121968633
396,2.87866893,3.0564539
397,2.83699247,2.866017408
398,2.89212686,2.951750245
399,2.88667267,3.087100504
400,2.8825982,3.093930394
401,2.89662159,3.101593541
402,2.92406983,3.050809474
403,2.83980902,3.097513328
404,2.88560284,3.075394671
405,2.89606265,3.072966375
406,2.90011167,3.145802781
407,2.89001668,3.039537702
408,2.88569213,3.072400853
409,2.90062569,2.953505283
410,2.76253552,3.128164355
411,2.88591539,3.046055182
412,2.80118714,3.103563239
413,2.90026315,3.082977913
414,2.90338813,3.071373182
415,2.90573673,3.058745
416,2.94258656,3.116231128
417,2.86870821,2.958548157
418,2.8203406,3.093470951
419,2.90906453,3.075614467
420,2.87928018,3.056683804
421,2.85775655,3.058206309
422,2.90042849,3.089699829
423,2.87569002,3.092422182
424,2.86763147,3.095698187
425,2.87237271,3.074700637
426,2.90285226,2.987105742
427,2.90157333,3.115665102
428,2.91439085,3.094279125
429,2.88217518,3.111289558
430,2.93548078,3.109892264
431,2.87212527,3.125393311
432,2.87620262,2.964087868
433,2.8223686,3.10026237
434,2.87731184,2.959199773
435,2.87017871,2.989655082
436,2.87496746,3.083029073
437,2.86650251,3.086728963
438,2.87156391,3.090351636
439,2.87808318,3.058828018
440,2.87257598,3.092017111
441,2.88132687,3.134332123
442,2.7918211,3.090591855
443,2.88348376,3.088579574
444,2.8901473,3.094310261
445,2.88550563,3.077796269
446,2.9025931,3.101376333
447,2.89867233,3.089421016
448,2.92873097,3.110377
449,2.88701566,3.098576513
450,2.81358295,3.090623832
451,2.8154558,3.108927343
452,2.86693415,3.078519283
453,2.87322861,3.112370697
454,2.87026886,3.077910573
455,2.89080092,2.98226841
456,2.89622291,3.062077823
457,2.76054711,3.057968377
458,2.89439512,3.081746353
459,2.89279499,3.095364381
460,2.89507074,3.082431401
461,2.87806277,3.057058421
462,2.90284481,3.061520427
463,2.82095336,3.049401581
464,2.87481406,3.098640252
465,2.87819924,3.133534381
466,2.91035345,3.120914204
467,2.89136601,2.956581822
468,2.92445801,3.102133179
469,2.88502106,3.057555555
470,2.90164867,3.09317071
471,2.87810515,3.096128134
472,2.87535822,3.072754323
473,2.87031159,3.082153545
474,2.88830387,3.078068238
475,2.87458012,3.036474384
476,2.92733364,3.088690991
477,2.86599184,3.125397083
478,2.90682193,3.026734619
479,2.88088384,3.026402244
480,2.89087563,2.993937627
481,2.87012057,3.131277472
482,2.89924879,3.136245187
483,2.87080988,3.075489533
484,2.89713031,3.091913658
485,2.87978348,2.919348377
486,2.87948587,3.022940444
487,2.88015409,3.113906416
488,2.88741419,3.087865077
489,2.88018704,3.07701721
490,2.8869705,3.060302616
491,2.91551821,3.06902023
492,2.89877963,3.094492281
493,2.89726609,3.097775077
494,2.89125918,3.073587115
495,2.84002237,3.179345492
496,2.89880397,3.067978475
497,2.89219311,3.056189247
498,2.88627637,3.05000674
499,2.82649716,3.111087953
500,2.88852875,3.099888205
501,2.86731616,3.089214071
502,2.88037033,3.121348472
503,2.85978242,3.001183505
504,2.84828165,3.109726987
505,2.85365095,3.068706978
506,2.85731289,3.086290415
507,2.87120452,3.106706559
508,2.89238232,3.08488963
509,2.89381239,3.137208893
510,2.81980084,3.108891742
511,2.87682868,3.107827847
512,2.89204328,3.091097901
513,2.91266705,3.115111174
514,2.889911,3.052564718
515,2.89519251,3.074080367
516,2.87990644,2.960619322
517,2.89057906,3.042010122
518,2.88170353,3.069436108
519,2.93370854,3.093131429
520,2.8261093,3.094332635
521,2.8703191,3.100438822
522,2.88796873,3.168992666
523,2.87674491,3.087054474
524,2.91691108,3.074243627
525,2.78395058,3.090933072
526,2.87943547,2.95756893
527,2.90424978,3.084185998
528,2.89308107,3.077186496
529,2.82834402,3.101774251
530,2.90613311,3.07437797
531,2.90225686,3.098297471
532,2.89695586,3.068310029
533,2.84486031,3.069136371
534,2.90298774,3.100585843
535,2.88354788,3.126328987
536,2.90698204,3.120075935
537,2.90195969,3.097024923
538,2.88230671,3.132370349
539,2.91189551,3.113189156
540,2.85678025,3.046038749
541,2.91512813,3.053060875
542,2.87306357,3.073501616
543,2.89439806,3.101939601
544,2.89213769,3.102803066
545,2.87015913,3.085888479
546,2.89280052,3.079189961
547,2.88397994,3.075876759
548,2.82162881,3.091633512
549,2.90803152,3.105438024
550,2.82283367,3.152996739
551,2.90046296,3.117065903
552,2.89392014,3.067828033
553,2.8781488,3.133889532
554,2.88129336,3.085544087
555,2.83341321,3.098211662
556,2.89262052,3.134240839
557,2.88874565,3.112933489
558,2.90062444,3.123930736
559,2.88443665,3.0544767
560,2.91625873,3.086745896
561,2.88223421,3.127880486
562,2.88828123,3.064419167
563,2.89572283,3.152984462
564,2.88269628,3.075351689
565,2.89936836,3.081409465
566,2.8962778,3.089719863
567,2.89153242,3.088652629
568,2.87653475,3.077320704
569,2.77737566,3.166405207
570,2.89713823,3.121241699
571,2.89580679,3.099458771
572,2.87093998,3.128102399
573,2.79878064,3.08524298
574,2.88948921,3.096827964
575,2.89466895,3.07979669
576,2.88109623,3.092510954
577,2.88170955,3.072166494
578,2.87383157,3.002599624
579,2.89706792,3.073105383
580,2.89489402,3.083067474
581,2.90843312,3.109327633
582,2.88258381,3.074642188
583,2.89378631,3.090980784
584,2.83574689,3.064191651
585,2.92135197,3.130566085
586,2.87506749,2.952536184
587,2.86904041,3.126433201
588,2.87894472,3.05457549
589,2.88418747,3.040800513
590,2.88602893,3.085882483
591,2.892177,3.095711154
592,2.88115345,3.163343111
593,2.91009433,3.114243174
594,2.88188026,3.085785775
595,2.90938469,3.083286897
596,2.87024013,3.059989182
597,2.85948273,3.106148594
598,2.89483858,3.084705118
599,2.81675515,3.130646214
600,2.86914698,3.055070608
601,2.90015043,3.084346505
602,2.89993087,2.98506463
603,2.8583034,3.043155679
604,2.86796269,3.050935812
605,2.87154423,3.086231645
606,2.87906224,3.065352025
607,2.88357284,3.103716613
608,2.77383128,3.084027483
609,2.88665411,3.063340214
610,2.875587,3.145593744
611,2.88984161,3.097709478
612,2.87567241,3.044630774
613,2.85717763,3.101189702
614,2.87360204,2.936865845
615,2.83291149,3.095059785
616,2.88230549,3.110960023
617,2.90079408,3.083280294
618,2.85416001,3.106507332
619,2.87450426,3.084279324
620,2.90741871,3.092724532
621,2.86254158,3.115498518
622,2.91931814,2.952833143
623,2.8912329,3.100779745
624,2.92285336,3.052119484
625,2.84379999,3.085135866
626,2.91733945,2.90878735
627,2.88982877,3.057755005
628,2.87788723,3.108049919
629,2.90110411,3.097970923
630,2.89159821,3.115533112
631,2.89557581,3.076463891
632,2.91961096,3.081216526
633,2.89739353,3.138690538
634,2.89237764,3.097663824
635,2.87378046,2.972191464
636,2.87829742,3.076415605
637,2.8614608,3.085081476
638,2.80318515,3.07494049
639,2.86179408,3.096134539
640,2.86073808,3.059914338
641,2.89539151,3.081864654
642,2.90717391,3.086558345
643,2.8665097,2.909325144
644,2.86685805,3.086567509
645,2.87158648,3.101135191
646,2.89855859,3.109570442
647,2.87869032,3.118644203
648,2.8902017,3.070346263
649,2.87779803,3.062650683
650,2.87004213,3.114874553
651,2.88302872,3.134594603
652,2.90415991,3.098209078
653,2.87187509,3.052403408
654,2.89855754,3.066009281
655,2.89974305,3.105318211
656,2.88585871,3.089256393
657,2.86216858,3.13604005
658,2.92750514,3.109497347
659,2.85860832,3.107681033
660,2.90673214,3.063735365
661,2.87749352,3.040381041
662,2.88481518,3.108155637
663,2.87747345,3.062535332
664,2.89413815,3.127027065
665,2.9144944,3.090739361
666,2.90360398,3.103144731
667,2.88586186,3.098792477
668,2.87482844,3.082042127
669,2.89655513,3.098416193
670,2.87670684,2.97089199
671,2.90891565,3.060944505
672,2.90591387,3.067071118
673,2.90184052,3.071801414
674,2.90905637,3.05726064
675,2.88533177,3.058812427
676,2.91011625,3.100653977
677,2.90127877,3.055275944
678,2.80864831,3.081527813
679,2.88646814,3.107802815
680,2.88137818,3.058139739
681,2.88815309,3.078852209
682,2.88022786,2.967941244
683,2.8889226,3.079294212
684,2.90338794,3.114786565
685,2.93226363,3.067420784
686,2.88084742,3.084068363
687,2.87182755,3.097561387
688,2.88720173,3.086578263
689,2.87743812,3.06602088
690,2.86859001,3.119187575
691,2.83635703,3.011222898
692,2.85753614,3.100724628
693,2.89829503,3.063932777
694,2.86280545,3.06648922
695,2.88201909,3.122156463
696,2.79839344,3.077811475
697,2.86293931,3.114326174
698,2.87691866,3.10599483
699,2.90503576,3.129594924
700,2.92375401,3.127190496
701,2.89179082,3.068849097
702,2.89055594,3.094702288
703,2.87237153,3.088604065
704,2.89581162,3.053396733
705,2.90491661,3.066824205
706,2.83324811,2.983337155
707,2.87635932,3.056033838
708,2.87478542,3.086843033
709,2.79544075,3.093845434
710,2.89833005,3.078394203
711,2.86769745,3.120881018
712,2.87306694,3.112554306
713,2.88580944,3.096917544
714,2.91152499,2.968396988
715,2.89524408,3.114605007
716,2.90659481,3.120007324
717,2.87609468,3.04488184
718,2.88840414,3.054775184
719,2.88236542,3.084917917
720,2.87404763,3.061364824
721,2.87694315,3.070773962
722,2.9170545,3.103144488
723,2.90591609,3.06971728
724,2.89515108,3.072616367
725,2.88397957,3.110098537
726,2.9050989,3.100756335
727,2.84744786,3.086196851
728,2.86100466,2.983452068
729,2.83919968,3.020213689
730,2.89880775,3.003308289
731,2.87532447,3.064820683
732,2.89728024,3.094234357
733,2.89794373,3.092997008
734,2.89577662,3.065480187
735,2.89105676,3.051617817
736,2.89144039,3.099461619
737,2.90949114,3.0837424
738,2.87578122,3.072054508
739,2.90276758,3.113945063
740,2.91686655,3.107273039
741,2.8661572,3.122188299
742,2.78715338,3.069459314
743,2.87034049,3.008753029
744,2.88448035,3.104630656
745,2.87746492,3.07057803
746,2.88448022,3.092003693
747,2.89248087,3.03416662
748,2.90186246,3.048481992
749,2.88045584,3.130284366
750,2.8860354,2.898517336
751,2.90819436,3.077832183
752,2.95196966,3.085701731
753,2.89256569,3.08877263
754,2.88857126,3.088150479
755,2.89588136,3.080657687
756,2.87792941,3.092155572
757,2.86549726,3.084506137
758,2.86388412,2.947785076
759,2.88182829,3.070823405
760,2.88359055,3.083417468
761,2.88767419,3.085557936
762,2.89570608,3.088904445
763,2.90597025,3.074811232
764,2.90264112,3.06898118
765,2.8898754,3.140708276
766,2.87833567,3.098169067
767,2.90576463,2.97369784
768,2.91712109,3.060716252
769,2.89729571,3.053627728
770,2.88671429,3.115124692
771,2.88039706,3.052411544
772,2.92858138,3.08844197
773,2.87939831,3.094946936
774,2.87582093,3.073588664
775,2.88462471,3.064868676
776,2.88255796,3.062580148
777,2.84761406,3.054663858
778,2.88593804,3.10211469
779,2.89481859,3.100366448
780,2.86201103,3.122848876
781,2.87598751,2.978960883
782,2.8737108,3.066137951
783,2.85315739,3.08052934
784,2.88991579,3.07075573
785,2.88571846,3.103808296
786,2.87924319,3.093025521
787,2.89252533,3.086274894
788,2.88439494,3.075730171
789,2.88797599,3.07551786
790,2.89158975,3.123201839
791,2.91042087,3.051218162
792,2.88987217,3.091475876
793,2.85637117,3.049261308
794,2.873679,3.067805317
795,2.89101956,3.055007939
796,2.87936597,3.071705064
797,2.88185528,3.099946465
798,2.84209065,3.097213846
799,2.89790263,3.082590837
800,2.89228583,3.129513376
801,2.88604858,3.083423939
802,2.87979719,3.080771652
803,2.89888679,2.93180647
804,2.93071866,3.098983998
805,2.86153118,3.104950534
806,2.88145586,3.116153892
807,2.91131485,3.135061046
808,2.89656382,3.090039314
809,2.8846013,3.097181504
810,2.90483715,3.0631908
811,2.8949134,3.086256478
812,2.87747835,3.070121576
813,2.89204275,3.108860079
814,2.88072755,3.110047287
815,2.90326755,3.068345625
816,2.88359139,3.088441835
817,2.87589024,3.083196609
818,2.8794543,3.07196773
819,2.91034199,3.080709287
820,2.85562809,3.090711912
821,2.89085274,3.077242198
822,2.9144959,3.088405523
823,2.88092858,3.093693688
824,2.87683071,3.15685327
825,2.86502247,3.070510061
826,2.87125595,3.0972381
827,2.91391175,3.086305458
828,2.86180478,3.113207369
829,2.88982313,2.904295135
830,2.88799057,3.080934063
831,2.89537962,3.103995876
832,2.8906379,3.043224555
833,2.91249955,3.097651702
834,2.90480499,3.040343229
835,2.82054888,3.090772716
836,2.86861008,3.066461284
837,2.87827023,3.08729729
838,2.88662134,3.082056246
839,2.89407181,3.098316653
840,2.87474555,3.064233823
841,2.83884023,3.126981172
842,2.88512122,3.105876637
843,2.89886254,3.045035306
844,2.8724538,3.069021783
845,2.9128975,3.118307858
846,2.82428054,3.079787917
847,2.90002918,3.080028804
848,2.83285868,3.086531693
849,2.86561844,3.078738147
850,2.89981794,3.116184057
851,2.91489273,3.017180821
852,2.82597946,3.128767252
853,2.87091787,3.106292841
854,2.88106887,3.111346711
855,2.9046126,3.074929189
856,2.89548957,3.095510598
857,2.82395285,3.134418313
858,2.82895057,3.155782733
859,2.89696051,3.124503439
860,2.91816226,3.087522949
861,2.87355503,3.051095839
862,2.85228153,3.098310824
863,2.90461241,3.095412873
864,2.8866068,3.073953968
865,2.90021511,2.953257467
866,2.88135775,3.045109699
867,2.86358854,3.096571295
868,2.904769,2.900328393
869,2.89125448,3.096664395
870,2.8785157,3.024605171
871,2.88198487,3.084199692
872,2.8849425,3.077031789
873,2.86269917,3.106712952
874,2.92887155,3.099978548
875,2.87953881,3.064572226
876,2.92461091,3.095473114
877,2.88033272,3.088479559
878,2.8627989,3.062037991
879,2.88936664,3.112452239
880,2.90575119,3.092976316
881,2.80697995,3.096620449
882,2.8876771,3.056740649
883,2.89934311,3.081651369
884,2.88834847,3.077272168
885,2.87573854,3.080413652
886,2.85504988,3.004865193
887,2.87857854,3.090923739
888,2.89487576,3.084907498
889,2.91711682,3.085630471
890,2.89068322,3.118827376
891,2.81999577,3.058199689
892,2.89637562,3.056564197
893,2.83039031,3.127147201
894,2.90315108,3.070584327
895,2.86149752,3.046649275
896,2.92734846,3.110307017
897,2.86483722,3.10263802
898,2.87642135,3.080574676
899,2.89148725,3.081462481
900,2.88249737,3.065912869
901,2.85804217,2.95282816
902,2.89597441,3.078477349
903,2.89084972,3.113962238
904,2.87153099,3.036474918
905,2.87522966,3.107889894
906,2.89815227,3.078090024
907,2.93030378,2.98660196
908,2.85996972,3.11372578
909,2.89890573,3.067527184
910,2.74946526,3.100482628
911,2.89044587,3.119173182
912,2.86205292,3.113796088
913,2.83678019,3.103435574
914,2.91004774,3.121962199
915,2.89073777,3.102931611
916,2.92627398,3.105436876
917,2.90154599,3.082568909
918,2.89251107,3.12050397
919,2.88269874,3.104125453
920,2.8827129,3.095633493
921,2.82879051,3.114069843
922,2.85120769,3.086754961
923,2.87763057,2.985365756
924,2.93643166,3.076656571
925,2.89318024,3.079861722
926,2.83729042,3.098372563
927,2.88819389,3.05750668
928,2.90120696,3.029732791
929,2.91162864,2.973762665
930,2.92387306,3.098185023
931,2.88447482,3.073301365
932,2.88971632,3.039942252
933,2.8838167,3.106649711
934,2.86646783,3.07028381
935,2.91173483,3.132506152
936,2.91932824,3.088998948
937,2.87938678,3.06569958
938,2.87553039,3.082233006
939,2.88527391,3.085707081
940,2.88874213,2.90562829
941,2.86441216,3.129975924
942,2.90385809,3.053719435
943,2.86120633,3.090630729
944,2.89243238,3.081718089
945,2.92060134,3.102784259
946,2.89651399,3.055669503
947,2.87052556,3.082386037
948,2.87188928,3.115124368
949,2.8953391,3.078625557
950,2.900085,3.071617305
951,2.92328234,3.101729934
952,2.86989825,3.074902075
953,2.88812879,3.08485004
954,2.86323401,3.091407728
955,2.92643924,3.091404523
956,2.89072857,3.010651633
957,2.89208416,3.04916968
958,2.89801557,3.061203943
959,2.88121311,3.085839794
960,2.91621949,3.08296901
961,2.91732458,3.092407431
962,2.86287694,3.117565622
963,2.89104368,3.104994172
964,2.88286022,3.086394876
965,2.878648,3.022129897
966,2.90231051,3.098427048
967,2.9019689,3.098378685
968,2.9178254,3.071883741
969,2.89569479,3.068892963
970,2.90685097,3.107795706
971,2.89294238,3.088780167
972,2.89045413,2.910660851
973,2.82835983,3.073506962
974,2.84786408,3.097527818
975,2.91055571,3.126661744
976,2.88410436,3.106280857
977,2.88789824,3.08251119
978,2.89800947,3.10218934
979,2.89451605,3.081327408
980,2.88867886,2.90525829
981,2.90722508,3.106402133
982,2.91121623,3.112833804
983,2.87712041,3.072049901
984,2.8694944,3.09660135
985,2.89167367,3.07349807
986,2.88912923,3.092180119
987,2.90563002,3.105860604
988,2.87930181,3.120834663
989,2.8081426,3.062148565
990,2.90595323,3.082107186
991,2.87701512,2.954989763
992,2.89598022,3.097117157
993,2.87915697,3.121845061
994,2.90108227,3.092250735
995,2.87693275,3.07182796
996,2.89555531,3.112039817
997,2.89818534,3.102743347
