survey_time_spent,survey_user_id,bonus_unclear,bonus_unclear_open,bcq_bonus_received,web_satisf,att_check,att_check_6_TEXT,web_recommend,lk_buy_cellphone,employment_status,employment_status_7_TEXT,gender,Mobile
119,6X1EIjI~f0B_g-1WKONy1Tuk5Q-nLvph,2,,2,4,6,Yes,3,7,2,,1,1
165,u-ZrwYgIFjm2TpYqvPcsTfajitxboztL,2,,2,7,6,Yes,7,2,2,,2,1
97,b4UIbSnGjbq59eKHKuBCgVZYEaVvUDsH,2,,2,5,6,Yes,5,3,1,,2,1
60,DJQyyHioO5PzP77NO4OjQfvdtoPMquT6,2,,2,3,6,Yes,2,5,1,,1,0
95,IgV0~dcGD2WKZSpAJoEc-RHTbqG~QbY5,2,,2,6,6,Yes,5,5,3,,1,0
210,rnvyCpoMXVD22BwZ-0ISPWZ_9KkDu_Et,2,,2,6,6,Yes,3,2,1,,1,0
428,OqhsQTmos_Q_a5Jeemxpuq3sdjeK-XID,2,,3,5,6,Yes,5,2,1,,2,0
119,~RvA059jnu2rEdE3pvq2Gd32UTN46cHV,2,,2,6,6,Yes,6,3,8,,2,1
76,8sp-F7CzgEq02oIUsjMnrJ5so5w6kMA1,2,,2,6,6,yes,5,6,1,,1,0
65,F2SAgMPZSL06E.GO_.uRNu1k294J.EOn,2,,2,6,6,Yes,5,7,1,,2,0
74,63RW57SuwmOlp5__DERz7Tq9sx.ooh9a,2,,1,2,6,Yes,1,5,1,,1,0
71,RqtXLLZOM8epxSUBnjgRhn0hW4stY0wR,2,,2,5,6,Yes,5,3,1,,2,1
158,'-2ItSFCwTWDjxofaN64ajPYMGkGlNI3z,2,,2,6,6,Yes,6,7,1,,2,0
88,tj-dYfNupyeefIeWeOT0JEmLdPsZzZ0L,2,,3,4,6,Yes,6,5,1,,2,0
100,nKYM_LmC~k_F4qthwcfGSw~V4deLbPSQ,2,,2,7,6,yes,7,6,1,,2,0
128,c8Y4~uPz2Q~6D~pZOKSvrVfvadzM40m5,1,The method in choosing the phone from the site was not clear ,2,1,6,Yes,2,7,1,,2,1
83,TRr-9r4POui5mlCiRQN0ynEWPhX-IpwN,2,,2,6,6,yes,6,7,1,,2,0
98,FPc0WFrGb.AemMrNX_XLO_XMLnwlih8i,2,,2,6,6,Yes,7,7,4,,2,1
104,OvbGxL3rlHIPnrj0O6kV5gJuxIM172fm,2,,2,6,6,Yes,6,7,1,,2,0
132,a3Zuw13~yNWDNNnrj8DcRdr5T3dJ8Mpd,2,,1,6,6,Yes,6,6,7,Stay at home mum,2,1
99,tKY8vXUfGfkgqjHkrKZRAzFrQmRDBWtR,2,,2,5,6,Yes,3,6,3,,2,0
76,snTDDdrPVdKzcOk4.yRaXEXpq6Ul3CFj,2,,2,5,6,Yes,3,5,2,,2,0
73,pC-HxhELpWeNgY6sLZTe40d2UZdFdPDU,2,,2,6,6,Yes,6,2,3,,2,0
185,6jsLLqeLrZe4q4KjLv17lAAuuppFMnPJ,2,,2,3,6,Yes,3,5,7,Injury,1,1
111,'-cIbHTdibaJxWWX7l.4_zGv5Zn9WSa3w,2,,2,1,6,yes,1,6,1,,2,0
93,cd9H1sPQf-_PyGPtD4vXYalNTkWvDQeT,2,,2,5,6,Yes,3,3,1,,2,1
109,6g2Mx7UWd1brptNInc.W1afZWaUCqoPA,2,,3,5,6,Yes,6,3,1,,2,1
63,EEXxKsJBRll2mWRufx7Lyx_hQBG5SDkG,2,,2,6,6,Yes,6,4,1,,2,0
57,BAkJbLGaxZWyfP~TpcD1xau2qK-pcRV4,2,,2,3,6,Yes,3,5,1,,1,0
98,prVdHEyTqSdKwuqqj57jAtXGhSNMN03G,2,,2,6,6,Yes,5,5,1,,1,1
129,R2j~HxtIal.4algQhXGv06WtJHEmsniO,2,,2,6,6,Yes,6,6,1,,2,1
82,kNQct0Jl6Yj1xEzZ.tSkvw0JM2PUJm1u,2,,2,6,6,Yes,5,2,7,Full time parent,2,1
100,CZ1oZ..YnB-4WlZRUGZ..zZQSC-utABn,2,,2,7,6,Yes,6,4,1,,2,1
96,Mz48MiWRIRitOkgVSsRXpIbPYiWtIN_I,2,,2,6,6,Yes,6,7,1,,2,1
184,3_sRRccBLDB-jktHEBGv7fq5q1SicHCj,2,,2,7,6,yes,7,7,1,,1,1
76,8EUHE8284ywjOinm~SRsohl.PCu5JF1B,1,All fine,2,2,6,Yes,1,2,2,,2,0
131,wGKstDg1qw.QG0wf9y8Cd6BpBC3~E34l,2,,2,5,6,Yes,4,2,3,,2,1
91,e0ML.ygKkcKXv-1LzTO-gZqqaLiTLKmm,2,,2,7,6,Yes,7,6,1,,2,1
